Providers,States,Name,Company,pct_UltraHi_ADL_2011,pct_UltraHi_ADL_2012,pct_UltraHi_ADL_2013,pct_UltraHi_ADL_2014,avg_UltraHi_ADL,PctRankUltraHi
015009,AL,BURNS NURSING HOME,Independent,0.631282993,0.573381951,0.525345622,0.530404378,0.565103736,0.624325498
015014,AL,EASTVIEW REHAB & HEALTHCARE CTR,BALL HEALTHCARE SERVICES,0.579162411,0.51369863,0.576761855,0.5237366,0.548339874,0.519940458
015015,AL,PLANTATION MANOR NURSING HOME,WPS MEDICARE,0.58348943,0.535512256,0.442331288,0.483107498,0.511110118,0.319915648
015016,AL,BEST HEALTH  LLC,Independent,0.488618772,0.530352384,0.518991713,0.514942924,0.513226448,0.32965329
015019,AL,MERRY WOOD LODGE,GENESIS HEALTHCARE,0.549860042,0.489627318,0.510299189,0.527743107,0.519382414,0.357873845
015023,AL,HATLEY HEALTH CARE  INC.,Independent,0.482934588,0.550518352,0.507079479,0.481352195,0.505471154,0.293679836
015024,AL,FORUM GREEN  INC.,Independent,0.538820083,0.614100267,0.613738795,0.621556161,0.597053826,0.810271041
015027,AL,WETUMPKA HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.52755608,0.571408523,0.541092365,0.511465877,0.537880711,0.458351423
015028,AL,KELLER LANDING,GENESIS HEALTHCARE,0.556269616,0.531712186,0.496264301,0.54862732,0.533218356,0.43112324
015031,AL,MITCHELL HOLLINGSWORTH NRSG & REHAB,PRESTON HEALTH SERVICES,0.635738243,0.636193057,0.645646457,0.614387813,0.632991393,0.941760218
015032,AL,GOLDEN LIVING-FOLEY,GGNSC,0.591776071,0.54893731,0.574237228,0.54522837,0.565044745,0.624015382
015034,AL,HUNTER CREEK HEALTH AND REHAB  LLC,NHS MANAGEMENT LLC,0.573258818,0.538203002,0.560955811,0.453451043,0.531467169,0.4221919
015035,AL,WESTGATE VILLAGE,CROWNE MANAGEMENT  LLC,0.5454277,0.555940308,0.581963892,0.516858449,0.550047587,0.530112262
015037,AL,WOODLEY MANOR HEALTH & REHAB,SAVA SENIOR CARE EQUITY HOLDINGS,0.612604118,0.60811394,0.612110312,0.635247525,0.617018974,0.894002357
015040,AL,GOLDEN LIVING-MONTGOMERY,GGNSC,0.585302622,0.560836596,0.563233027,0.543743277,0.563278881,0.612789183
015042,AL,SUMTER HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.514110925,0.531105475,0.517305152,0.504139073,0.516665156,0.345345159
015043,AL,SOUTH HAVEN HEALTH & REHAB CENTER,SAVA SENIOR CARE EQUITY HOLDINGS,0.542312661,0.59120326,0.507984129,0.589928822,0.557857218,0.578304286
015044,AL,CAREGIVERS OF PLEASANT GROVE,Independent,0.588189182,0.500912686,0.508404279,0.465316234,0.515705595,0.340817466
015047,AL,NORTHWAY HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.621008964,0.544549558,0.574312155,0.548595415,0.572116523,0.669912547
015048,AL,USA HEALTHCARE-CULLMAN  LLC,USA HEALTHCARE-ALABAMA,0.519022475,0.538796189,0.51571662,0.459947256,0.508370635,0.307821125
015050,AL,OAK TRACE,AMERICAN HEALTH CORPORATION,0.510235527,0.414922512,0.47573162,0.494984127,0.473968447,0.172114371
015053,AL,CLEBURNE COUNTY NURSING HOME,Independent,0.475942783,0.495465394,0.529805301,0.414494321,0.47892695,0.188302425
015060,AL,TERRACE OAKS,AMERICAN HEALTH CORPORATION,0.50297619,0.464083939,0.395420633,0.508951407,0.467858042,0.151398623
015063,AL,GOLDEN LIVING-BOAZ,GGNSC,0.561982439,0.579421926,0.569909061,0.517100562,0.557103497,0.573032314
015065,AL,PRATTVILLE HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.547376923,0.499947389,0.544438801,0.589015442,0.545194639,0.50077529
015066,AL,TERRACE MANOR NURSING HOME,Independent,0.568351497,0.569667384,0.55712297,0.602728943,0.574467698,0.684550022
015067,AL,COTTAGE OF THE SHOALS,GENESIS HEALTHCARE,0.590200075,0.564156094,0.588779938,0.59086439,0.583500124,0.740246852
015071,AL,RUSSELLVILLE HEALTH CARE  INC.,THE HUIE GROUP  INC.,0.599185573,0.593131766,0.722610723,0.4882134,0.600785365,0.82614898
015073,AL,HANCEVILLE NURSING HOME  INC.,Independent,0.618940855,0.558726674,0.608181996,0.552993643,0.584710792,0.74737952
015075,AL,SUMMERFORD NURSING HOME  INC.,Independent,0.594285714,0.573687943,0.612317855,0.610650974,0.597735622,0.813248155
015076,AL,FAIR HAVEN,METHODIST HOMES FOR THE AGING,0.537662816,0.506222972,0.528498021,0.520069676,0.523113371,0.377225082
015083,AL,ELBA NURSING & REHAB CENTER LLC,Independent,0.501517814,0.515457208,0.480576527,0.423769772,0.48033033,0.193140234
015084,AL,PARK PLACE NURSING & REHAB CTR  LLC,Independent,0.505746506,0.518101761,0.477533538,0.491188359,0.498142541,0.26000124
015089,AL,EVERGREEN NURSING HOME,CROWNE MANAGEMENT  LLC,0.498171475,0.52740596,0.462586207,0.464542452,0.488176523,0.221670905
015091,AL,NORTH HILL NURSING & REHAB CTR LLC,Independent,0.553851436,0.55259834,0.470015722,0.510937165,0.521850666,0.370216461
015097,AL,SOUTH HEALTH & REHABILITATION  LLC,NHS MANAGEMENT LLC,0.552926903,0.486890907,0.497077543,0.495791791,0.508171786,0.3069528
015098,AL,ALLEN MEMORIAL HOME,Independent,0.497140343,0.46764977,0.490034662,0.416385135,0.467802477,0.151274577
015100,AL,CROWNE HEALTH CARE OF MOBILE,CROWNE MANAGEMENT LLC,0.508925564,0.520328315,0.506047388,0.472906922,0.502052047,0.276251318
015101,AL,ALTOONA HEALTH & REHAB  INC.,TRINITY MANAGEMENT  INC.,0.41408776,0.416007036,0.534635337,0.433839479,0.449642403,0.102152205
015103,AL,ASHLAND PLACE HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.56549313,0.538546256,0.530724372,0.582834331,0.554399522,0.555789865
015104,AL,SOUTHLAND NURSING HOME,SASSER ENTERPRISE  INC.,0.443701013,0.420412301,0.501334223,0.433262462,0.4496775,0.102214228
015109,AL,CIVIC CENTER HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.547823046,0.576599412,0.512333658,0.52044352,0.539299909,0.465608137
015111,AL,DIVERSICARE OF BIG SPRINGS LLC,DIVERSICARE HC SERVICES INC,0.615224833,0.627196521,0.6161868,0.574684597,0.608323188,0.858028903
015112,AL,MAGNOLIA HAVEN NURSING HOME,BALL HEALTHCARE SERVICES,0.502261079,0.515907409,0.54173504,0.574652778,0.533639077,0.434286423
015113,AL,RIVER CITY CENTER,GENESIS HEALTHCARE,0.606243734,0.614394924,0.602070739,0.592884449,0.603898461,0.840352292
015114,AL,SHADESCREST HEALTH CARE CENTER,Independent,0.412611776,0.483154122,0.407222914,0.492404051,0.448848216,0.100353532
015115,AL,CORDOVA HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.520844992,0.599922765,0.543209877,0.552379973,0.554089402,0.552316566
015116,AL,1002 SIGNATURE HEALTHCARE OF WHITESB,SIGNATURE HEALTHCARE  LLC,0.576690471,0.569601071,0.580241451,0.592423869,0.579739216,0.719158965
015117,AL,OAK KNOLL HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.621183966,0.578303426,0.568928279,0.554436581,0.580713063,0.724803076
015119,AL,WARREN MANOR HEALTH & REHAB CENTER,SAVA SENIOR CARE EQUITY HOLDINGS,0.575970291,0.501206524,0.572714954,0.592326506,0.560554569,0.596477082
015120,AL,NHC HEALTHCARE  ANNISTON,NATIONAL HEALTHCARE CORPORATION,0.570913478,0.559930954,0.591380114,0.531795269,0.563504954,0.61427774
015121,AL,CITRONELLE HEALTH & REHAB. CTR.,PENSACOLA ADMIN. SERV,0.624243091,0.626294991,0.57661831,0.56669134,0.598461933,0.816411338
015126,AL,TRAYLOR RETIREMENT COMMUNITY,Independent,0.604820408,0.534621457,0.553962639,0.577146034,0.567637634,0.640761645
015127,AL,BROOKSHIRE HEALTHCARE CENTER,DIVERSICARE HEALTHCARE SERVICES INC.,0.574559471,0.542385057,0.555387714,0.549411907,0.555436038,0.562178255
015128,AL,NHC HEALTHCARE  MOULTON,NATIONAL HEALTHCARE CORPORATION,0.56643777,0.564804498,0.542104095,0.528082965,0.550357332,0.531848911
015129,AL,ATMORE NURSING CENTER,CROWNE MANAGEMENT LLC,0.528073613,0.559223718,0.517511762,0.506220419,0.527757378,0.402778639
015131,AL,GOLDEN LIVING-TRUSSVILLE,GGNSC,0.636838854,0.569939983,0.572016216,0.60933126,0.597031578,0.810146995
015132,AL,GOLDEN LIVING-OXFORD,GGNSC,0.599013768,0.591693611,0.541651232,0.593654963,0.581503393,0.729702909
015133,AL,MAGNOLIA RIDGE CENTER,GENESIS HEALTHCARE,0.683131768,0.649193691,0.6567297,0.6160557,0.651277715,0.976555232
015134,AL,BIRMINGHAM NRSG & REHAB CTR EAST LLC,Independent,0.53968254,0.525493277,0.512896825,0.487081555,0.516288549,0.343918626
015135,AL,JOHN KNOX MANOR II,Independent,0.399410464,0.51143526,0.635837221,0.625200642,0.542970897,0.486199839
015136,AL,FALKVILLE HEALTH CARE CENTER,USA HEALTHCARE,0.53848173,0.567942568,0.54300065,0.49464392,0.536017217,0.447497364
015137,AL,WHEAT NURSING HOME  INC.,Independent,0.464700781,0.512721857,0.471801722,0.478383081,0.48190186,0.197419835
015138,AL,HENDRIX HEALTH CARE CENTER,Independent,0.502944641,0.495975071,0.508757637,0.517566568,0.506310979,0.297401228
015139,AL,TALLASSEE HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.495136551,0.507759623,0.487269535,0.471440397,0.490401526,0.229982013
015141,AL,SALEM NURSING & REHAB OF REFORM,Independent,0.537418203,0.633515159,0.475879503,0.569672131,0.554121249,0.552564659
015142,AL,LINEVILLE HEALTH & REHAB  LLC,NHS MANAGEMENT LLC,0.542968496,0.546920062,0.513380622,0.515246833,0.529629003,0.412702351
015143,AL,FOREST MANOR  INC.,Independent,0.637519985,0.632707775,0.608089261,0.618177834,0.624123714,0.91831545
015144,AL,CHANDLER HEALTH & REHAB,C ROSS MANAGEMENT  LLC,0.52090433,0.495794599,0.49228854,0.514024309,0.505752945,0.294734231
015145,AL,GOLDEN LIVING-RIVERCHASE,GGNSC,0.603300043,0.617547094,0.617212267,0.617017315,0.61376918,0.8804813
015147,AL,GLENWOOD CENTER,GENESIS HEALTHCARE,0.593387335,0.575111219,0.587617313,0.578568275,0.583671036,0.7411772
015148,AL,GOLDEN LIVING-ARAB,GGNSC,0.621757899,0.569527728,0.542531424,0.511398313,0.561303841,0.601376915
015149,AL,SOUTHERN CARE  LLC,Independent,0.67092506,0.649362957,0.701301953,0.569525268,0.647778809,0.970166842
015151,AL,AZALEA GARDENS OF MOBILE,Independent,0.596187698,0.582479798,0.638047476,0.621016828,0.60943295,0.863052782
015152,AL,EXTENDICARE  INC.,Independent,0.519338227,0.508974129,0.541844592,0.530427421,0.525146093,0.388389258
015153,AL,ARLINGTON REHAB & HEALTHCARE CTR,BALL HEALTHCARE SERVICES,0.548102815,0.574212236,0.57430489,0.614152203,0.577693036,0.705761955
015155,AL,RIDGEVIEW HEALTH SERVICES  INC.,KELLEY HEALTH HOLDINGS  INC.,0.658021342,0.641640314,0.639607136,0.648626406,0.646973799,0.968988402
015156,AL,CROWNE HEALTH CARE OF FPRT PAYNE,CROWNE MANAGEMENT  LLC,0.536361901,0.507783069,0.540616016,0.504344086,0.522276268,0.372821435
015157,AL,HALEYVILLE HEALTH CARE CENTER,USA HEALTHCARE-ALABAMA  LLC,0.600888702,0.541707634,0.533727504,0.510309939,0.546658445,0.510264839
015158,AL,PERRY COUNTY NURSING HOME,Independent,0.566759665,0.537801716,0.532632082,0.515212982,0.538101611,0.459281771
015159,AL,GOLDEN LIVING-ONEONTA,GGNSC,0.584442704,0.551113734,0.536392153,0.544858399,0.554201747,0.553308938
015160,AL,SYLACAUGA HEALTH & REHAB SVCS,NOLAND HEALTH SERVICES,0.538133989,0.527089573,0.515280918,0.507262764,0.521941811,0.370836693
015162,AL,TALLADEGA HEALTHCARE CENTER,SCHMIDT WALLACE HEALTHCARE MGT CO,0.57596676,0.57911666,0.553437412,0.557975735,0.566624142,0.634311232
015163,AL,ALBERTVILLE NURSING HOME,SCHMIDT WALLACE HEALTHCARE MGT,0.643362316,0.619190663,0.62458764,0.610829175,0.624492449,0.919369844
015164,AL,WILLOW TRACE HEALTH & REHAB. CTR.,PENSACOLA ADMIN. SERV,0.573896784,0.556972611,0.600506271,0.526034373,0.56435251,0.620231967
